Messages, Exceptions, Warnings, InitServiceRegister, InitReasoner, AddServiceIndividual,  t1, t2, t3
10, 0, 0, 681, 334, 9, 82, 189, 8
10, 3, 2, 70, 54, 2, 14, 130, 20
10, 6, 4, 60, 39, 4, 14, 128, 15
50, 0, 0, 86, 35, 1, 51, 259, 2
50, 3, 2, 43, 28, 2, 43, 228, 9
50, 5, 5, 42, 31, 1, 42, 194, 12
50, 30, 20, 41, 33, 2, 28, 132, 32
100, 0, 0, 40, 60, 1, 33, 247, 2
100, 3, 2, 34, 20, 1, 35, 241, 6
100, 6, 4, 35, 20, 1, 33, 184, 5
100, 30, 20, 33, 17, 1, 35, 220, 47
100, 60, 40, 37, 25, 6, 40, 241, 52
